Tool Name,Kya Karega (Power),Jarvis Tier,Public Tiers,Kyun Powerful / Zaroori
Ancient Tech Decoder,"Scripture shlokas ko decode karega (Viman Shastra, Samrangan Sutradhar, Rigveda)",Full,Limited,Tere goal ka core — hidden science nikale
Virtual Simulation Engine,"Viman, temple, astra ka virtual model banaye aur simulate karega (physics + math)",Full,Off,Jarvis Tony Stark jaise help karega invention mein
Temple Geometry Analyzer,"Temple photo daal kar Vastu Shastra, energy flow, sacred geometry decode karega",Full,Limited,Temple energy converter decode karne ke liye
Scripture Cross-Reference,Ek scripture se dusre scripture mein related shlok dhoondhega (Rigveda → Atharvaveda),Full,Limited,Deep Vedic research ke liye
Ancient-Modern Blend Calculator,"Ancient formula ko modern science se match karega (e.g., Mercury Vortex → Ion Thruster)",Full,Off,Ancient + modern science blend
Code Execution (Sandbox),"Safe Python code run karega (math, physics, simulation)",Full,Limited,Virtual experiments ke liye
Image Generation / View,"Temple, viman, ancient diagrams generate ya visualize karega",Full,Limited,Visual decoding ke liye
PDF Deep Analysis,"Ek PDF ka deep summary, cross-reference, hidden meaning nikalega",Full,Limited,Scriptures ko samajhne ke liye
Web Search (Controlled),Modern science se compare karne ke liye (limited public mein),Full,Limited,Latest research ke liye
File System Access (Controlled),"Local files read/write (Jarvis mein full, public mein off)",Full,Off,Private data ke liye
